variable,importance
spn_3480,0.0
DistanceLtd,0.0
spn_3605,0.0
spn_3597,0.0
spn_3583,0.0
spn_3556,0.0
spn_3513,0.0
spn_3509,0.0
spn_3490,0.0
spn_3482,0.0
spn_3464,0.0
spn_3245,0.0
spn_3364,0.0
spn_3363,0.0
spn_3362,0.0
spn_3361,0.0
spn_3360,0.0
spn_3253,0.0
spn_3251,0.0
spn_3249,0.0
spn_3246,0.0
spn_1675,0.0
spn_1668,0.0
spn_1659,0.0
spn_906,0.0
spn_1056,0.0
spn_1045,0.0
spn_1028,0.0
spn_976,0.0
spn_941,0.0
spn_929,0.0
spn_917,0.0
spn_908,0.0
spn_907,0.0
spn_905,0.0
spn_1569,0.0
spn_886,0.0
spn_862,0.0
spn_829,0.0
spn_807,0.0
spn_805,0.0
spn_803,0.0
spn_802,0.0
spn_800,0.0
spn_799,0.0
spn_1059,0.0
spn_1067,0.0
spn_1068,0.0
spn_1071,0.0
spn_1487,0.0
spn_1483,0.0
spn_1481,0.0
spn_1464,0.0
spn_1349,0.0
spn_1347,0.0
spn_1326,0.0
spn_1325,0.0
spn_1323,0.0
spn_1247,0.0
spn_1236,0.0
spn_1231,0.0
spn_1209,0.0
spn_1176,0.0
spn_1172,0.0
spn_1127,0.0
spn_1081,0.0
spn_1078,0.0
spn_1072,0.0
hour_23,0.0
