time_window,upweight,oversample,f_beta,roc_auc,precision,recall,false_positives,true_positives,cost_savings
derate_12_hr,0,1,0.9965799485607518,0.5598508924263716,0.9942124770140877,0.996622038977534,7.5,0.25,-2500.0
derate_12_hr,1,0,0.9922562424915709,0.5644235354792948,0.9941064499643549,0.9922285591371016,4.0,0.75,125.0
derate_24_hr,0,1,0.9954602654640804,0.5252022288554701,0.991826128232322,0.9955173157805766,3.5,0.0,-1500.0
derate_24_hr,1,0,0.9954176411512716,0.5065884793664708,0.9918257836602419,0.9954740192924832,2.25,0.0,-1000.0
derate_6_hr,0,1,0.9972199639447903,0.5557551532962726,0.996432272711049,0.9972382967302884,6.25,0.5,-375.0
derate_6_hr,1,0,0.9955613154559295,0.5698225843382045,0.9961561660643099,0.9955525892708331,5.0,0.5,125.0
